id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,aid_conditioning,has_security,has_pool,has_outbuilding,street_quality,domestic_use_of_groundfloor,street_lanes,tourist_area,environmental_hazard,main_road_high_visibility,informal_settlement,commercial_corridor,has_water
FCC0027801,8.44287,-13.1617,20318.75,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Good Road,No,Four,No,No,Yes,No,No,Yes
FCC0085770,8.47829,-13.2433,669.82,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0086053,8.48648,-13.245,1302.27,Commercial,Industrial Warehouse,NA,Difficult,Yes,No,Zinc,Bad,No,Zinc / Metal Sheeting,Bad,No Windows,No,No,No,Yes,Bad Road,No,None,No,No,No,No,No,Yes
FCC0086092,8.44083,-13.2509,613.3,Commercial,Industrial Warehouse,NA,Easy,No,Yes,Zinc,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,No,Two,No,No,No,No,No,No
FCC0086291,8.47118,-13.232,495.96,Commercial,Industrial Warehouse,NA,Difficult,No,No,Zinc,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Bad Road,No,None,No,No,No,No,No,No
FCC0086758,8.48969,-13.2218,138.5,Commercial,Industrial Manufacturing,NA,Difficult,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,Two,No,No,No,No,No,No
FCC0086758,8.48969,-13.2218,138.5,Domestic,Industrial Manufacturing,NA,Difficult,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,Two,No,No,No,No,No,No
FCC0025631,8.47196,-13.2644,233.41,Commercial,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Average Road,No,None,No,No,No,No,No,No
FCC0086850,8.45955,-13.1807,258.34,Commercial,Industrial Warehouse,NA,Difficult,Yes,No,Mud,Bad,Yes,Zinc / Metal Sheeting,Bad,Wood,No,No,No,No,Bad Road,No,None,No,Yes,No,No,No,Yes
FCC0087387,8.46445,-13.2286,486.71,Commercial,Industrial Warehouse,NA,Difficult,Yes,No,Zinc,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Bad Road,No,None,No,No,No,Yes,No,Yes
FCC0087504,8.44548,-13.161,6914.5698,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Good,Traditional glazed casement set in metal frame or wood frame,No,Yes,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0087896,8.46511,-13.1806,1290.78,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,Yes,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0087909,8.47691,-13.2403,453.85,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Sliding panels with aluminium frame,No,No,No,Yes,Average Road,No,Two,No,No,No,No,No,No
FCC0088018,8.48661,-13.222,890.64,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,Yes,Concrete,Good,No Windows,No,No,No,Yes,Good Road,Yes,Two,No,No,No,No,Yes,Yes
FCC0088018,8.48661,-13.222,222.66,Domestic,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,Yes,Concrete,Good,No Windows,No,No,No,Yes,Good Road,Yes,Two,No,No,No,No,Yes,Yes
FCC0088242,8.48356,-13.2295,2820.4199,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,No Windows,No,No,No,No,Average Road,No,Two,No,No,No,No,No,No
FCC0089569,8.46803,-13.2685,1196.88,Commercial,Industrial Manufacturing,NA,Difficult,No,No,Masonry,Good,Yes,Zinc / Metal Sheeting,Good,Sliding panels with aluminium frame,No,No,No,No,Average Road,No,One,No,No,No,No,No,No
FCC0089683,8.40757,-13.144,972.12,Commercial,Industrial Manufacturing,NA,Easy,No,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,Yes,No,Yes,Average Road,No,Two,No,No,No,No,No,Yes
FCC0089939,8.48019,-13.2268,2447.47,Commercial,Industrial Warehouse,NA,Difficult,No,No,Zinc,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,Yes,Bad Road,No,None,No,No,No,No,No,Yes
FCC0089975,8.4853,-13.2037,444.08,Commercial,Industrial Warehouse,NA,Difficult,Yes,No,Masonry,Bad,Yes,Zinc / Metal Sheeting,Bad,No Windows,No,No,No,No,Average Road,No,Two,No,Yes,No,No,No,No
FCC0090138,8.4618,-13.1793,665.32,Commercial,Industrial Warehouse,NA,Difficult,No,Yes,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Bad Road,No,None,No,No,No,No,No,Yes
FCC0090154,8.44498,-13.1664,17111.5098,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,Yes,No,No,Average Road,No,One,No,No,No,No,No,Yes
FCC0090774,8.48537,-13.2381,14756.5195,Institutional,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,Yes,Galvanised Aluminium,Average,Sliding panels with aluminium frame,Yes,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0015496,8.46575,-13.1822,534.49,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,Yes
FCC0015496,8.46575,-13.1822,133.6225,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,Yes
FCC0091830,8.48177,-13.227,192.88,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Good Road,No,Two,No,Yes,No,No,No,Yes
FCC0091926,8.48295,-13.2393,667.59,Commercial,Industrial Warehouse,NA,Easy,No,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,Yes,No,No,Yes,Bad Road,No,None,No,No,No,No,No,Yes
